node_id,similar_node_id,neighbor_rank,feature_distance,feature_similarity,shared_complete_business_count,median_cost_smape_on_shared_business,median_revenue_smape_on_shared_business
ant2132274545bee34cfbc0a5b55bd0b,ant22d24cbfefb9a3528b1dfb6d9120c,9,0.07225382328033447,0.9277461767196655,0,,
ant286bd66a55d7a33b39cf62e935d07,ant295405d65c8983528afda7ff06a07,10,0.07225388288497925,0.9277461171150208,0,,
ant246cefb649b213cf5a0cc534bdb07,ant24bf6d87316513a49a8fd51b4d500,10,0.07225394248962402,0.927746057510376,0,,
ant229013042013f33b49abc103b0408,ant21e605b25edaf30ef981105055408,9,0.0722540020942688,0.9277459979057312,0,,
antfcf9b34ef26d14614b878133c6c06,ant67c5280a013387ecd34ea79884e04,8,0.07225412130355835,0.9277458786964417,2,0.8518491788639347,0.9360324945447414
ant2612986029206334da2aa241d4506,ant28aa775211141340fb1b141f8a509,9,0.07225418090820312,0.9277458190917969,1,0.0,2.0
ant227154035a713389fa6d1b4755906,ant2f69e99207a1a3c7782f7c9899604,10,0.0722547173500061,0.9277452826499939,0,,
ant694c0f464340df6ec5522a7e5e605,antcaa7500c2b687741d85ffae246009,2,0.07225501537322998,0.92774498462677,0,,
ant263da4fe02b5f342289f75f85b007,ant2c9c8ec9bec703b75b78e14c5ed05,6,0.0722551941871643,0.9277448058128357,0,,
ant208615a983ec13d07874d29ef9c09,ant23208851e1758331fa2e71fa78d04,8,0.07225573062896729,0.9277442693710327,0,,
ant269a69c2b1d613a3b9de60b7e2d00,ant2fde42cf15e313814a40826066402,2,0.07225579023361206,0.9277442097663879,1,1.8338945005611675,1.8617886178861789
ant2750ae0a8a07c3525b62fd0c86605,ant2d6a573dbb36831f191ac7eb72601,6,0.07225584983825684,0.9277441501617432,0,,
ant275380749a90d37d8a042f1d83b02,ant2ca8a0b048b4f303db249d1af5300,2,0.07225584983825684,0.9277441501617432,0,,
ant2c25603049a7b368f8081c9affb01,ant2b01099285caf3389ad8bfc47d501,10,0.07225584983825684,0.9277441501617432,0,,
ant238aa57eb67bf36ce816410261a0a,ant2edc76e0de75a30bab64527b8130a,9,0.07225590944290161,0.9277440905570984,1,1.6359600443951163,0.9311885612153709
ant26c1c009c0a2831f3bcdd6632d905,ant2f9acebdff7ed3fc1a12ec0002609,8,0.07225590944290161,0.9277440905570984,1,1.4520547945205486,0.9
antfcty010000046609ld12510210004,ant2164157dc24e03ff7a6c14fce3004,6,0.07225602865219116,0.9277439713478088,0,,
ant205a8b0a21cc232dab729d993fb01,ant24a6f71e10b60335f81c7ea1ef50c,2,0.07225608825683594,0.9277439117431641,0,,
antfcty010000046609ld12510210004,ant24ba8c70de48a3f9792ba3d0d440b,7,0.07225620746612549,0.9277437925338745,0,,
ant2e9cc5f44d38c37138aefb341fd03,ant259457c9b8c8033e68f57c4f4dd06,3,0.07225638628005981,0.9277436137199402,3,0.624505928853755,1.1754874651810583
4582b1d1ff4eaf9bfbd94980f5648b02,a6479eb1aa4c0ac5b9c35840e91a8905,1,0.07225644588470459,0.9277435541152954,0,,
ant255deca313c3e30da8e74a3fe9c05,ant2b9d69df73ad837049e84ab629109,5,0.07225656509399414,0.9277434349060059,1,1.5131450827653359,1.8517538054268694
ant2907cfc584ebf348b9ff1f7512e03,ant2cfdd7edb598b3fb19664ab4a9600,8,0.07225662469863892,0.9277433753013611,0,,
ant20f4612b8a1fd3939b41483db0d01,ant2fa4cc241846f3d6da540dcfb8702,4,0.07225668430328369,0.9277433156967163,0,,
ant262655c1df95e3a5cb77754b40203,ant2cc4c0e1c1d6536b7a4e8fff20b03,1,0.07225704193115234,0.9277429580688477,0,,
ant23184be715f293b75a965ddb93d08,ant23f29c574862c399182a1a95e1707,3,0.07225710153579712,0.9277428984642029,0,,
ant22a43db2f69813bf98ddc8cf8990a,ant2ff97319beedc30e5b102b1246701,2,0.07225722074508667,0.9277427792549133,0,,
ant255913bc659d93788b612576f6c05,ant22938a6beb964307bb4cbf96dac07,8,0.07225728034973145,0.9277427196502686,1,0.7931034482758623,0.08955223880597024
ant16caf26500a66495d714584ac0206,antd10c05b838794ac4dff8f6376e309,7,0.07225745916366577,0.9277425408363342,2,0.6836953760864044,0.6839360934982956
ant28f46e9e1ac7c31bba6e52b3e8a0b,ant2f6fcbf421d583aef8e29f2880f05,5,0.07225751876831055,0.9277424812316895,0,,
ant261b1b5cd37b1384b94bdf783aa02,ant288fe30ff7cbe3429ac0715a27b00,5,0.0722576379776001,0.9277423620223999,2,0.8675324675324675,0.31881506662215076
