business,node_count,active_days_sum,business_name,node_share
10000020,3,107,B站专线,0.00011268452090297862
10000300,3,87,B站-晚高峰21点,0.00011268452090297862
10000210,3,36,字节CDN汇聚V3,0.00011268452090297862
10000299,3,30,,0.00011268452090297862
10000010,3,20,字节拨测,0.00011268452090297862
10000095,3,11,百度网盘盒子,0.00011268452090297862
10000277,2,128,,7.512301393531909e-05
10000291,2,109,,7.512301393531909e-05
10000286,2,66,,7.512301393531909e-05
10000111,2,57,专项upB-out-mini-电信,7.512301393531909e-05
10000215,2,55,多虚机业务A,7.512301393531909e-05
10000138,2,30,七牛买断,7.512301393531909e-05
10000197,2,25,,7.512301393531909e-05
10000284,2,25,,7.512301393531909e-05
10000177,2,18,,7.512301393531909e-05
1382522065,1,119,字节架构汇聚,3.7561506967659545e-05
10000109,1,48,专项upB-out-电信,3.7561506967659545e-05
10000191,1,37,腾讯专线-80,3.7561506967659545e-05
10000312,1,3,,3.7561506967659545e-05
10000012,1,1,钛雾,3.7561506967659545e-05
