seed,task,method,rows,nodes,mse,rmse,mae,r2,wape,median_ape,node_macro_wape,node_median_wape,eligible_nodes,eligible_rows,pair_count,pairwise_accuracy,top1_accuracy,mean_top1_regret,median_top1_regret,mean_spearman,mean_ndcg_at_3,mean_ndcg_at_5
11,cost,baseline,1285.0,1159.0,1006.1361686294895,31.719649566624934,15.930737223898669,0.7162301756784311,0.4653315644834092,0.7227341813538223,28.533080313747558,0.6654327298318026,,,,,,,,,,
11,cost,similar_node,1285.0,1159.0,909.8382651842471,30.163525410406642,14.944073653907171,0.7433899578184715,0.4365114479884759,0.6400600414971853,22.409001603129216,0.5707877369652513,,,,,,,,,,
11,cost,blend_similar_0.50,1285.0,1159.0,929.5126416058196,30.487909761179424,15.197911813214292,0.7378410127404003,0.443925976653149,0.6741583572503789,25.42222119396789,0.6343569704886732,,,,,,,,,,
11,cost,blend_similar_0.70,1285.0,1159.0,914.8090102227611,30.24580979611492,15.036630331605519,0.7419880129423144,0.43921499792665125,0.6424172415452846,24.19545415616704,0.5978578066151948,,,,,,,,,,
11,cost,blend_similar_0.85,1285.0,1159.0,909.7608985897976,30.162242930355788,14.969120279142174,0.7434117782296641,0.4372430516262629,0.6314492838808363,23.281337567040907,0.5852429920403415,,,,,,,,,,
11,revenue,baseline,1063.0,980.0,1582.49796641954,39.78062300190307,21.441983926597914,0.7425043612484874,0.40692716886684316,0.43971836317994945,4.189280434705742,0.4072230590328558,,,,,,,,,,
11,revenue,similar_node,1063.0,980.0,1351.918819025254,36.7684486894029,20.10722354414429,0.7800229717623478,0.38159601175904767,0.3872379855095227,2.7553659378151116,0.38502418004237426,,,,,,,,,,
11,revenue,blend_similar_0.50,1063.0,980.0,1385.2078061098043,37.218379950097294,20.150795869949864,0.7746063651223272,0.38242292979245834,0.329148653472507,3.3669222013139923,0.31400418488777215,,,,,,,,,,
11,revenue,blend_similar_0.70,1063.0,980.0,1352.2120639069744,36.7724361976056,20.001716521124358,0.7799752565173796,0.3795936935817725,0.3298194664799565,3.086587602457927,0.32862910393002187,,,,,,,,,,
11,revenue,blend_similar_0.85,1063.0,980.0,1344.6853611359945,36.66995174711844,20.016316894881626,0.7811999614957319,0.3798707802906228,0.3554570799363938,2.907676352291037,0.3498772220162635,,,,,,,,,,
11,ranking,baseline,,,,,,,,,,,653.0,1306.0,653.0,0.5865237366003063,0.5865237366003063,7.259139120362735,0.0,0.1730474732006125,0.8473982135747221,0.8473982135747221
11,ranking,similar_node,,,,,,,,,,,653.0,1306.0,653.0,0.6140888208269525,0.6156202143950995,5.740497526832481,0.0,0.23195084485407058,0.8581368578046491,0.8581368578046491
11,ranking,neighbor_k3,,,,,,,,,,,653.0,1306.0,653.0,0.6064318529862175,0.6064318529862175,6.227892500997142,0.0,0.21286370597243492,0.8547457069951987,0.8547457069951987
47,cost,baseline,1285.0,1154.0,800.8375819635752,28.29907387112828,15.94840573907975,0.7095696106399978,0.5008897735053056,0.7693911529358896,29.01387111251981,0.7619423403690786,,,,,,,,,,
47,cost,similar_node,1285.0,1154.0,828.7832501090222,28.788595834271288,14.965878168562838,0.6994348823714926,0.4700316413314416,0.6181940258848178,23.01008550102705,0.5737497890156207,,,,,,,,,,
47,cost,blend_similar_0.50,1285.0,1154.0,783.3845962839788,27.98900849054819,15.1197959888173,0.7158990806106644,0.4748657208869154,0.6314975313593889,25.95814497859195,0.6160519037333307,,,,,,,,,,
47,cost,blend_similar_0.70,1285.0,1154.0,794.0018668771833,28.178038733687327,14.976388065454262,0.7120486393954004,0.47036172447326996,0.5976190673995665,24.757877386898855,0.5830637215757999,,,,,,,,,,
47,cost,blend_similar_0.85,1285.0,1154.0,808.5642293967211,28.435263835539157,14.929518297893068,0.7067674778817501,0.4688896909896694,0.5879104587600325,23.865435686553653,0.5626036219682247,,,,,,,,,,
47,revenue,baseline,1074.0,983.0,1284.0108704775473,35.83309741673956,20.75371601667198,0.7424235836290958,0.423006729126684,0.6052984297275543,4.317982675451476,0.6044013371351149,,,,,,,,,,
47,revenue,similar_node,1074.0,983.0,1479.429132630655,38.46334791240428,19.84679886305412,0.7032220964640324,0.4045217475247101,0.3604977422410279,3.38257760027103,0.34049429955974336,,,,,,,,,,
47,revenue,blend_similar_0.50,1074.0,983.0,1320.6604994213887,36.340892936489446,19.903806773145398,0.7350715585787415,0.4056836950796775,0.4212882845323781,3.780820828269593,0.41406706745973954,,,,,,,,,,
47,revenue,blend_similar_0.70,1074.0,983.0,1369.5136632351036,37.00694074406994,19.768143443666084,0.7252714679776102,0.40291857575264317,0.3435590686356293,3.5986729549698393,0.3361429989114728,,,,,,,,,,
47,revenue,blend_similar_0.85,1074.0,983.0,1418.9760373016675,37.66929833832411,19.747424373905673,0.7153491679798507,0.40249627519100606,0.3357184898475765,3.479578042031738,0.3178346719983309,,,,,,,,,,
47,ranking,baseline,,,,,,,,,,,653.0,1306.0,653.0,0.6125574272588055,0.6125574272588055,7.42309248296317,0.0,0.22511485451761093,0.8570064742014989,0.8570064742014989
47,ranking,similar_node,,,,,,,,,,,653.0,1306.0,653.0,0.6294027565084227,0.6294027565084227,6.7493627565951355,0.0,0.2588055130168453,0.8632235840188249,0.8632235840188249
47,ranking,neighbor_k3,,,,,,,,,,,652.0,1304.0,652.0,0.6104294478527608,0.6104294478527608,7.3406546053489965,0.0,0.2208588957055214,0.856221100317715,0.856221100317715
