model,feature,importance
cost_similar,join_disks_system_size,0.0011332124
cost_similar,dial_lbtype,0.0008798244
cost_similar,analysis_issupportipv6,0.00082950253
cost_similar,analysis_upnpstate,0.0008058542
cost_similar,join_yesterday_avg_peak_ratio,0.00042798865
cost_similar,analysis_cooperationtype,0.00041097766
cost_similar,attribute_delivery_type,0.0
cost_similar,resourcetype,0.0
cost_similar,nattype,0.0
cost_similar,regsource,0.0
cost_similar,customermode,0.0
cost_similar,device_type,0.0
cost_similar,arch_type,0.0
cost_similar,isvm,0.0
cost_similar,os,0.0
cost_similar,arch,0.0
cost_similar,hardwaretype,0.0
cost_similar,idc_id,0.0
cost_similar,idc_name,0.0
cost_similar,analysis_nodedeliverytype,0.0
cost_similar,analysis_cgroupversion,0.0
cost_similar,analysis_lastdeploystate,0.0
cost_similar,analysis_isroot,0.0
cost_similar,dial_ipv6_enable,0.0
cost_similar,join_ismanaged,0.0
cost_similar,join_isminorisp,0.0
cost_similar,join_isipv6schedule,0.0
cost_similar,join_natforwardenable,0.0
cost_similar,join_idcbindtype,0.0
cost_similar,join_deploystate,0.0
cost_similar,join_cpu_totalphysicals,0.0
cost_similar,join_biz_bw,0.0
cost_similar,attribute_missing_flag,0.0
cost_similar,type_conflict,0.0
cost_similar,neighbor_support,0.0
profit_similar,neighbor_prior_k5,0.46400896
profit_similar,neighbor_prior_k3,0.12574176
profit_similar,neighbor_prior_k10,0.07402792
profit_similar,neighbor_prior_k20,0.05757867
profit_similar,attribute_delivery_type,0.013984169
profit_similar,city,0.013389558
profit_similar,business_prior,0.012810217
profit_similar,analysis_yesterday_p95_bw,0.011696564
profit_similar,business_std,0.011022918
profit_similar,bw,0.010638857
profit_similar,business,0.009802494
profit_similar,province,0.009175103
profit_similar,business_support_log1p,0.0078044645
profit_similar,node_business_interaction_prior,0.0077294856
profit_similar,analysis_dby_p95_bw,0.007690613
profit_similar,neighbor_std_k10,0.0071793604
profit_similar,join_actualbw,0.0069305473
profit_similar,node_model,0.0066293115
profit_similar,join_disks_totalsize,0.0065697297
profit_similar,join_disks_total_size,0.006359807
profit_similar,analysis_yesterday_snapshot_netbench_bw,0.006274408
profit_similar,join_disks_ssd_size,0.0061228424
profit_similar,sevendayavg95ratio,0.005765227
profit_similar,join_cpu_corenumber,0.0053271856
profit_similar,node_support_log1p,0.0051392843
profit_similar,neighbor_similarity_max,0.0050141066
profit_similar,join_limitbw,0.0050094198
profit_similar,corenum,0.004595163
profit_similar,join_isbantransprov,0.004561911
profit_similar,netbenchlimitbandwidth,0.0043681613
profit_similar,isp,0.004065339
profit_similar,scheduleisps,0.0039073443
profit_similar,systemdisksize,0.0038093268
profit_similar,join_memtotal,0.0037326864
profit_similar,resourcetype,0.0037234733
profit_similar,totaldisksize,0.003718401
profit_similar,join_disks_system_size,0.0037108813
profit_similar,node_prior,0.0036733493
profit_similar,node_manufacturer,0.0036372566
profit_similar,analysis_lastdeployscenario,0.00343423
profit_similar,join_cpu_totalthreads,0.0033545261
profit_similar,outcome_delivery_type,0.0033410992
profit_similar,neighbor_similarity_mean,0.0032355003
profit_similar,actualbandwidth,0.0032127108
profit_similar,dialtype,0.0031917044
profit_similar,analysis_yesterday_snapshot_bw,0.0031409469
profit_similar,memtotal,0.0031332157
profit_similar,node_std,0.0029697884
profit_similar,ssddisksize,0.0025783647
profit_similar,analysis_issupportipv6,0.0024105033
profit_similar,dial_lbtype,0.0021331443
profit_similar,hdddisksize,0.0020464354
profit_similar,dial_lbtype_v6,0.0018275604
profit_similar,qoskiller_status,0.0010532459
profit_similar,analysis_cooperationtype,0.00092464377
profit_similar,dial_on_physical_nic,0.00080574333
profit_similar,analysis_upnpstate,0.0002803939
profit_similar,nattype,0.0
profit_similar,regsource,0.0
profit_similar,customermode,0.0
profit_similar,device_type,0.0
profit_similar,arch_type,0.0
profit_similar,isvm,0.0
profit_similar,os,0.0
profit_similar,arch,0.0
profit_similar,hardwaretype,0.0
profit_similar,idc_id,0.0
profit_similar,idc_name,0.0
profit_similar,analysis_nodecustmertype,0.0
profit_similar,analysis_nodedeliverytype,0.0
profit_similar,analysis_tcpnattype,0.0
profit_similar,analysis_udpnattype,0.0
profit_similar,analysis_cgroupversion,0.0
profit_similar,analysis_lastdeploystate,0.0
profit_similar,analysis_supply_side_delivery_type,0.0
profit_similar,analysis_isroot,0.0
profit_similar,dial_ipv6_enable,0.0
profit_similar,join_ismanaged,0.0
profit_similar,join_isminorisp,0.0
profit_similar,join_isipv6schedule,0.0
profit_similar,join_natforwardenable,0.0
profit_similar,join_idcbindtype,0.0
profit_similar,join_deploystate,0.0
profit_similar,join_cpu_totalcores,0.0
profit_similar,join_cpu_totalphysicals,0.0
profit_similar,join_disks_hdd_size,0.0
