business,cost_sum,cost_count,cost_mean,cost_std,cost_weighted_sum,cost_weight_sum,revenue_sum,revenue_count,revenue_mean,revenue_std,revenue_weighted_sum,revenue_weight_sum,profit_sum,profit_count,profit_mean,profit_std,profit_weighted_sum,profit_weight_sum
10000000,3640.672060618865,41,88.79687952728939,86.28949691963614,2690.7323941951204,31.254548298819678,4554.880233645798,37.0,123.10487117961617,112.99940283822727,3204.785019235107,29.685028403575743,945.6455730269331,37.0,25.55798846018738,39.506391660982985,581.3653017947248,29.685028403575743
10000001,17.764302261130727,1063,0.016711479079144616,0.006736007141021773,13.748750017642978,827.7117258637716,,,,,,,,,,,,
10000003,4838.330315603668,111,43.588561401834845,29.347614965715017,3415.7817317974773,79.27362854974966,6093.083835932471,111.0,54.892647170562796,42.84764897742559,4278.941724758673,78.79954556546609,1254.7535203288026,111.0,11.304085768727951,17.80853212120576,872.2437843069753,78.79954556546609
10000005,854.5961566553865,23,37.15635463719072,58.29486736853064,770.9010291848068,18.32748827408781,782.2900300860389,23.0,34.01261000374082,48.17079841202737,701.7818706059732,18.22918038389042,-72.30612656934758,23.0,-3.143744633449895,22.389827935490125,-68.64572916895638,18.22918038389042
10000006,0.015,1,0.015,,0.005669467095138408,0.3779644730092272,,,,,,,,,,,,
10000010,0.01,1,0.01,,0.01,1.0,,,,,,,,,,,,
10000015,39.46708448275862,2,19.73354224137931,6.06781861496989,39.46708448275862,2.0,274.4086948275862,2.0,137.2043474137931,12.128501547197892,274.4086948275862,2.0,234.94161034482758,2.0,117.47080517241379,6.060682932227998,234.94161034482758,2.0
10000019,14013.959869084127,622,22.53048210463686,33.09202427923291,10434.553320071911,513.9646443165018,21969.81549765017,617.0,35.607480547245004,59.03721089627481,15790.6821533019,508.67535616665066,7957.625628566042,617.0,12.897286269961171,27.896482081848323,5378.94950324392,508.67535616665066
10000034,6316.756422173129,32,197.39863819291028,140.68691848991213,5329.064671677667,26.76463585110613,9991.278696266683,32.0,312.22745925833385,179.66473974536615,8394.589808272265,26.339605843800634,3674.522274093554,32.0,114.82882106542357,77.96483474730093,3099.30514358996,26.339605843800634
10000037,890.9400337438424,2,445.4700168719212,1.6283420413183884,760.1276459384942,1.7071067811865475,1113.810407635468,2.0,556.905203817734,7.839505656466043,949.0730351327256,1.7071067811865475,222.8703738916256,2.0,111.4351869458128,6.211163615147655,188.94538919423144,1.7071067811865475
10000041,460.42623945705435,49,9.396453866470496,13.760261695370351,381.6760992011665,42.45680625490656,733.7998881614986,49.0,14.975507921663237,21.556726229421642,613.0060351579707,42.345778981623354,273.37364870444435,49.0,5.579054055192742,8.882142408557272,231.59967913978883,42.345778981623354
10000047,33.619527011494256,8,4.202440876436782,1.7795418713826814,15.422889882794353,3.066477501360822,50.3017724137931,7.0,7.185967487684729,3.5123036366329585,23.096755106213422,2.799216259448398,21.412245402298854,7.0,3.058892200328408,3.5873224619325232,8.938010897664837,2.799216259448398
10000048,2410.537953955501,35,68.87251297015717,84.87091293469138,2252.936403362007,29.012980433418576,3221.4103244606817,34.0,94.7473624841377,111.94812833452096,2991.7211052027465,28.577976594368568,810.9343705051808,34.0,23.8510108972112,30.005146384672123,742.3875459883452,28.577976594368568
